Age,BusinessTravel,DailyRate,CostOfHiring,Department,Education,EducationField,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlySalary,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
41,Travel_Rarely,1102,7192,Sales,College,Life Sciences,Medium,Female,Sales Executive,Very High,Single,5993,8,Yes,Excellent,8,0,6,0,5,Yes
49,Travel_Frequently,279,6156,Research & Development,Below College,Life Sciences,High,Male,Research Scientist,Medium,Married,5130,1,No,Outstanding,10,3,10,1,7,No
37,Travel_Rarely,1373,2508,Research & Development,College,Other,Very High,Male,Laboratory Technician,High,Single,2090,6,Yes,Excellent,7,3,0,0,0,Yes
33,Travel_Frequently,1392,3491,Research & Development,Master,Life Sciences,Very High,Female,Research Scientist,High,Married,2909,1,Yes,Excellent,8,3,8,3,0,No
27,Travel_Rarely,591,4162,Research & Development,Below College,Medical,Low,Male,Laboratory Technician,Medium,Married,3468,9,No,Excellent,6,3,2,2,2,No
32,Travel_Frequently,1005,3682,Research & Development,College,Life Sciences,Very High,Male,Laboratory Technician,Very High,Single,3068,0,No,Excellent,8,2,7,3,6,No
59,Travel_Rarely,1324,3204,Research & Development,Bachelor,Medical,High,Female,Laboratory Technician,Low,Married,2670,4,Yes,Outstanding,12,3,1,0,0,No
30,Travel_Rarely,1358,3232,Research & Development,Below College,Life Sciences,Very High,Male,Laboratory Technician,High,Divorced,2693,1,No,Outstanding,1,2,1,0,0,No
38,Travel_Frequently,216,11431,Research & Development,Bachelor,Life Sciences,Very High,Male,Manufacturing Director,High,Single,9526,0,No,Outstanding,10,2,9,1,8,No
36,Travel_Rarely,1299,6284,Research & Development,Bachelor,Medical,High,Male,Healthcare Representative,High,Married,5237,6,No,Excellent,17,3,7,7,7,No
35,Travel_Rarely,809,2911,Research & Development,Bachelor,Medical,Low,Male,Laboratory Technician,Medium,Married,2426,0,No,Excellent,6,5,5,0,3,No
29,Travel_Rarely,153,5032,Research & Development,College,Life Sciences,Very High,Female,Laboratory Technician,High,Single,4193,0,Yes,Excellent,10,3,9,0,8,No
31,Travel_Rarely,670,3493,Research & Development,Below College,Life Sciences,Low,Male,Research Scientist,High,Divorced,2911,1,No,Excellent,5,1,5,4,3,No
34,Travel_Rarely,1346,3193,Research & Development,College,Medical,Medium,Male,Laboratory Technician,Very High,Divorced,2661,0,No,Excellent,3,2,2,1,2,No
28,Travel_Rarely,103,2434,Research & Development,Bachelor,Life Sciences,High,Male,Laboratory Technician,High,Single,2028,5,Yes,Excellent,6,4,4,0,3,Yes
29,Travel_Rarely,1389,11976,Research & Development,Master,Life Sciences,Medium,Female,Manufacturing Director,Low,Divorced,9980,1,No,Excellent,10,1,10,8,8,No
32,Travel_Rarely,334,3958,Research & Development,College,Life Sciences,Low,Male,Research Scientist,Medium,Divorced,3298,0,Yes,Excellent,7,5,6,0,5,No
22,Non-Travel,1123,3522,Research & Development,College,Medical,Very High,Male,Laboratory Technician,Very High,Divorced,2935,1,Yes,Excellent,1,2,1,0,0,No
53,Travel_Rarely,1219,18512,Sales,Master,Life Sciences,Low,Female,Manager,Very High,Married,15427,2,No,Excellent,31,3,25,3,7,No
38,Travel_Rarely,371,4733,Research & Development,Bachelor,Life Sciences,Very High,Male,Research Scientist,Very High,Single,3944,5,Yes,Excellent,6,3,3,1,2,No
24,Non-Travel,673,4813,Research & Development,College,Other,Low,Female,Manufacturing Director,High,Divorced,4011,0,No,Excellent,5,5,4,1,3,No
36,Travel_Rarely,1218,4088,Sales,Master,Life Sciences,High,Male,Sales Representative,Low,Single,3407,7,No,Outstanding,10,4,5,0,3,Yes
34,Travel_Rarely,419,14393,Research & Development,Master,Life Sciences,Low,Female,Research Director,Medium,Single,11994,0,No,Excellent,13,4,12,2,11,No
21,Travel_Rarely,391,1478,Research & Development,College,Life Sciences,High,Male,Research Scientist,Very High,Single,1232,1,No,Excellent,0,6,0,0,0,No
34,Travel_Rarely,699,3552,Research & Development,Below College,Medical,Medium,Male,Research Scientist,Low,Single,2960,2,No,Excellent,8,2,4,1,3,Yes
53,Travel_Rarely,1282,22913,Research & Development,Bachelor,Other,High,Female,Manager,High,Divorced,19094,4,No,Excellent,26,3,14,4,8,No
32,Travel_Frequently,1125,4703,Research & Development,Below College,Life Sciences,Medium,Female,Research Scientist,Low,Single,3919,1,Yes,Outstanding,10,5,10,6,7,Yes
42,Travel_Rarely,691,8190,Sales,Master,Marketing,High,Male,Sales Executive,Medium,Married,6825,0,No,Excellent,10,2,9,4,2,No
44,Travel_Rarely,477,12298,Research & Development,Master,Medical,Low,Female,Healthcare Representative,Very High,Married,10248,3,No,Excellent,24,4,22,5,17,No
46,Travel_Rarely,705,22736,Sales,Master,Marketing,Medium,Female,Manager,Low,Single,18947,3,No,Excellent,22,2,2,2,1,No
33,Travel_Rarely,924,2995,Research & Development,Bachelor,Medical,High,Male,Laboratory Technician,Very High,Single,2496,4,No,Excellent,7,3,1,0,0,No
44,Travel_Rarely,1459,7758,Research & Development,Master,Other,Very High,Male,Healthcare Representative,Very High,Married,6465,2,Yes,Excellent,9,5,4,1,3,No
30,Travel_Rarely,125,2647,Research & Development,College,Medical,Very High,Male,Laboratory Technician,High,Single,2206,1,No,Excellent,10,5,10,1,8,No
39,Travel_Rarely,895,2503,Sales,Bachelor,Technical Degree,Very High,Male,Sales Representative,Very High,Married,2086,3,No,Excellent,19,6,1,0,0,Yes
24,Travel_Rarely,813,2752,Research & Development,Bachelor,Medical,Medium,Male,Research Scientist,Very High,Married,2293,2,Yes,Excellent,6,2,2,2,0,Yes
43,Travel_Rarely,1273,3174,Research & Development,College,Medical,Very High,Female,Research Scientist,High,Divorced,2645,1,No,Excellent,6,3,5,1,4,No
50,Travel_Rarely,869,3220,Sales,College,Marketing,Low,Male,Sales Representative,High,Married,2683,1,Yes,Excellent,3,2,3,0,2,Yes
35,Travel_Rarely,890,2417,Sales,Bachelor,Marketing,Very High,Female,Sales Representative,Very High,Married,2014,1,No,Excellent,2,3,2,2,2,No
36,Travel_Rarely,852,4103,Research & Development,Master,Life Sciences,Medium,Female,Research Scientist,Low,Married,3419,9,Yes,Excellent,6,3,1,0,0,No
33,Travel_Frequently,1141,6451,Sales,Bachelor,Life Sciences,High,Female,Sales Executive,Low,Married,5376,2,No,Excellent,10,3,5,1,3,No
35,Travel_Rarely,464,2341,Research & Development,College,Other,High,Male,Laboratory Technician,Very High,Divorced,1951,1,No,Excellent,1,3,1,0,0,No
27,Travel_Rarely,1240,2809,Research & Development,Master,Life Sciences,Very High,Female,Laboratory Technician,Low,Divorced,2341,1,No,Excellent,1,6,1,0,0,No
26,Travel_Rarely,1357,2752,Research & Development,Bachelor,Life Sciences,Low,Male,Laboratory Technician,High,Single,2293,1,No,Excellent,1,2,1,0,1,Yes
27,Travel_Frequently,994,10471,Sales,Bachelor,Life Sciences,Very High,Male,Sales Executive,High,Single,8726,1,No,Excellent,9,0,9,1,7,No
30,Travel_Frequently,721,4813,Research & Development,College,Medical,High,Female,Laboratory Technician,Very High,Single,4011,1,No,Outstanding,12,2,12,3,7,No
41,Travel_Rarely,1360,23454,Research & Development,Bachelor,Technical Degree,Medium,Female,Research Director,High,Married,19545,1,No,Excellent,23,0,22,15,8,Yes
34,Non-Travel,1065,5482,Sales,Master,Marketing,Medium,Male,Sales Executive,High,Single,4568,0,No,Outstanding,10,2,9,8,7,No
37,Travel_Rarely,408,3626,Research & Development,College,Life Sciences,Medium,Male,Research Scientist,Medium,Married,3022,4,No,Outstanding,8,1,1,0,0,No
46,Travel_Frequently,1211,6926,Sales,Master,Marketing,Low,Male,Sales Executive,Very High,Single,5772,4,Yes,Outstanding,14,4,9,0,8,No
35,Travel_Rarely,1229,2723,Research & Development,Below College,Life Sciences,Very High,Male,Laboratory Technician,Very High,Married,2269,1,No,Excellent,1,2,1,0,1,No
48,Travel_Rarely,626,6457,Research & Development,College,Life Sciences,Low,Male,Laboratory Technician,High,Single,5381,9,Yes,Excellent,23,2,1,0,0,Yes
28,Travel_Rarely,1434,4129,Research & Development,Master,Technical Degree,High,Male,Laboratory Technician,High,Single,3441,1,Yes,Excellent,2,3,2,2,2,Yes
44,Travel_Rarely,1488,6545,Sales,Doctor,Marketing,Medium,Female,Sales Executive,Low,Divorced,5454,5,Yes,Outstanding,9,2,4,1,3,No
35,Non-Travel,1097,11861,Research & Development,College,Medical,High,Male,Healthcare Representative,Low,Married,9884,2,Yes,Excellent,10,3,4,2,3,No
26,Travel_Rarely,1443,4988,Sales,Bachelor,Marketing,High,Female,Sales Executive,Very High,Married,4157,7,Yes,Excellent,5,2,2,0,0,No
33,Travel_Frequently,515,16150,Research & Development,College,Life Sciences,Low,Female,Research Director,Very High,Single,13458,1,Yes,Excellent,15,1,15,8,12,No
35,Travel_Frequently,853,10883,Sales,Doctor,Life Sciences,Medium,Male,Sales Executive,Low,Married,9069,1,No,Outstanding,9,3,9,1,8,No
35,Travel_Rarely,1142,4817,Research & Development,Master,Medical,High,Female,Laboratory Technician,Low,Married,4014,3,Yes,Excellent,4,3,2,2,2,No
31,Travel_Rarely,655,7098,Research & Development,Master,Life Sciences,Very High,Male,Laboratory Technician,Very High,Divorced,5915,3,No,Outstanding,10,3,7,1,7,No
37,Travel_Rarely,1115,7192,Research & Development,Master,Life Sciences,Low,Male,Manufacturing Director,High,Divorced,5993,1,No,Excellent,7,2,7,0,7,No
32,Travel_Rarely,427,7394,Research & Development,Bachelor,Medical,Low,Male,Manufacturing Director,Very High,Married,6162,1,Yes,Outstanding,9,3,9,7,8,No
38,Travel_Frequently,653,2887,Research & Development,Doctor,Life Sciences,Very High,Female,Laboratory Technician,Very High,Single,2406,1,No,Excellent,10,2,10,9,9,No
50,Travel_Rarely,989,22488,Research & Development,College,Medical,Medium,Female,Research Director,High,Divorced,18740,5,Yes,Excellent,29,2,27,13,8,No
59,Travel_Rarely,1435,9164,Sales,Bachelor,Life Sciences,Low,Female,Sales Executive,Low,Single,7637,7,No,Excellent,28,3,21,7,9,No
36,Travel_Rarely,1223,12115,Research & Development,Bachelor,Technical Degree,High,Female,Healthcare Representative,High,Divorced,10096,1,No,Excellent,17,2,17,12,8,No
55,Travel_Rarely,836,17707,Research & Development,Bachelor,Medical,Very High,Female,Manager,High,Divorced,14756,2,Yes,Excellent,21,2,5,0,2,No
36,Travel_Frequently,1195,7799,Research & Development,Bachelor,Life Sciences,Medium,Male,Manufacturing Director,Medium,Single,6499,1,No,Excellent,6,3,6,0,3,No
45,Travel_Rarely,1339,11669,Research & Development,Bachelor,Life Sciences,Medium,Male,Research Scientist,Low,Divorced,9724,2,No,Excellent,25,2,1,0,0,No
35,Travel_Frequently,664,2633,Research & Development,Bachelor,Medical,Medium,Male,Research Scientist,Low,Married,2194,4,No,Excellent,5,2,3,1,2,No
36,Travel_Rarely,318,4066,Research & Development,Bachelor,Medical,Very High,Male,Research Scientist,High,Married,3388,0,Yes,Excellent,2,0,1,0,0,Yes
59,Travel_Frequently,1225,6568,Sales,Below College,Life Sciences,Low,Female,Sales Executive,High,Single,5473,7,No,Excellent,20,2,4,1,3,No
29,Travel_Rarely,1328,3244,Research & Development,Bachelor,Life Sciences,High,Male,Research Scientist,Medium,Married,2703,0,No,Outstanding,6,3,5,0,4,No
31,Travel_Rarely,1082,3001,Research & Development,Master,Medical,High,Male,Research Scientist,Medium,Single,2501,1,No,Excellent,1,4,1,1,0,No
32,Travel_Rarely,548,7464,Research & Development,Bachelor,Life Sciences,Medium,Male,Research Scientist,Medium,Married,6220,1,No,Excellent,10,3,10,0,9,No
36,Travel_Rarely,132,3646,Research & Development,Bachelor,Life Sciences,Medium,Female,Laboratory Technician,Very High,Married,3038,3,No,Excellent,5,3,1,0,0,No
31,Travel_Rarely,746,5309,Research & Development,Master,Life Sciences,High,Female,Manufacturing Director,Very High,Single,4424,1,No,Outstanding,11,2,11,1,8,No
35,Travel_Rarely,776,5174,Sales,Master,Marketing,High,Male,Sales Executive,Low,Single,4312,0,No,Excellent,16,2,15,2,8,No
45,Travel_Rarely,193,15894,Research & Development,Master,Other,Very High,Male,Research Director,Low,Married,13245,4,Yes,Excellent,17,3,0,0,0,No
37,Travel_Rarely,397,16397,Research & Development,Master,Medical,Low,Male,Research Director,High,Single,13664,4,No,Excellent,16,3,5,0,2,No
46,Travel_Rarely,945,6025,Human Resources,College,Medical,Medium,Male,Human Resources,Medium,Divorced,5021,8,Yes,Outstanding,16,2,4,0,2,No
30,Travel_Rarely,852,6151,Research & Development,Below College,Life Sciences,Very High,Male,Laboratory Technician,Very High,Married,5126,1,Yes,Excellent,10,1,10,3,0,No
35,Travel_Rarely,1214,3431,Research & Development,Bachelor,Medical,Medium,Male,Research Scientist,High,Single,2859,1,No,Excellent,6,3,6,0,4,No
55,Travel_Rarely,111,12287,Sales,College,Life Sciences,Low,Male,Sales Executive,Very High,Married,10239,3,No,Excellent,24,4,1,1,0,No
38,Non-Travel,573,6395,Research & Development,Bachelor,Medical,Medium,Female,Research Scientist,Very High,Divorced,5329,7,Yes,Excellent,17,3,13,1,9,No
34,Travel_Rarely,1153,5190,Research & Development,College,Medical,Low,Male,Manufacturing Director,Medium,Married,4325,1,No,Excellent,5,2,5,1,3,No
56,Travel_Rarely,1400,8712,Research & Development,Bachelor,Life Sciences,Very High,Male,Manufacturing Director,Very High,Single,7260,4,No,Excellent,37,3,6,0,2,No
23,Travel_Rarely,541,2786,Sales,Below College,Technical Degree,High,Male,Sales Representative,Low,Divorced,2322,3,No,Excellent,3,3,0,0,0,No
51,Travel_Rarely,432,2490,Research & Development,Master,Life Sciences,Very High,Male,Laboratory Technician,Very High,Married,2075,3,No,Outstanding,10,4,4,0,3,No
30,Travel_Rarely,288,4982,Research & Development,Bachelor,Life Sciences,High,Male,Healthcare Representative,Very High,Married,4152,1,No,Excellent,11,3,11,10,8,No
46,Travel_Rarely,669,11543,Sales,College,Medical,High,Male,Sales Executive,Very High,Single,9619,1,No,Excellent,9,3,9,4,7,Yes
